61983CJ0244,Judgment of the Court of 18 March 1986,,  Meggle Milchindustrie GmbH & Co, KG v Council and Commission of the European Communities,  Non-contractual liability of the Community,  Case 244/83,ECLI identifier: ECLI:EU:C:1986:126,27/10/1983,18/03/1986,Germany,Bosco,VerLoren van Themaat,RESP
61984CJ0175,Judgment of the Court of 26 February 1986,,  Krohn & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 175/84,ECLI identifier: ECLI:EU:C:1986:85,04/07/1984,26/02/1986,Germany,Galmot,Mancini,RESP
61983CJ0145,Judgment of the Court of 7 November 1985,,  Stanley George Adams v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 145/83,ECLI identifier: ECLI:EU:C:1985:448,18/07/1983,07/11/1985,Malta; Provisional data,Due,Mancini,RESP
61984CJ0053,Judgment of the Court of 7 November 1985,,  Stanley George Adams v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 53/84,ECLI identifier: ECLI:EU:C:1985:449,29/02/1984,07/11/1985,Malta; Provisional data,Due,Mancini,RESP
61980CJ0267(01),Judgment of the Court (Fifth Chamber) of 23 October 1985,Fifth Chamber,  Riseria Modenese Srl v Council and Commission of the European Communities and Birra Peroni SpA,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 267/80 rév,ECLI identifier: ECLI:EU:C:1985:427,11/02/1985,23/10/1985,Italy,Kakouris,VerLoren van Themaat,RESP
61984CJ0232,Judgment of the Court (Fourth Chamber) of 3 October 1985,Fourth Chamber,  Commission of the European Communities v Jean-Louis Tordeur and others,  Reference for a preliminary ruling: Cour du travail de Bruxelles - Belgium,  Temporary workers in the service of the Commission - Jurisdiction of the Court,  Case 232/84,ECLI identifier: ECLI:EU:C:1985:392,17/09/1984,03/10/1985,Belgium,Bosco,VerLoren van Themaat,RESP
61984CJ0071,Judgment of the Court (Fourth Chamber) of 25 September 1985,Fourth Chamber,  Robert Surcouf and Jean Vidou v European Economic Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 71 and 72/84,ECLI identifier: ECLI:EU:C:1985:363,14/03/1984,25/09/1985,France,Bosco,Lenz,RESP
61982CJ0033,Judgment of the Court of 19 September 1985,,  Murri Frères v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 33/82,ECLI identifier: ECLI:EU:C:1985:354,20/01/1982,19/09/1985,Provisional data; Madagascar,Kakouris,VerLoren van Themaat,RESP
61983CJ0194,Judgment of the Court of 19 September 1985,,  Asteris AE and others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 194 to 206/83,ECLI identifier: ECLI:EU:C:1985:357,14/09/1983,19/09/1985,Greece,Pescatore,Sir Gordon Slynn,RESP
61983CJ0059,Judgment of the Court of 6 December 1984,,  SA Biovilac NV v European Economic Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 59/83,ECLI identifier: ECLI:EU:C:1984:380,11/04/1983,06/12/1984,Belgium,O'Keeffe,Sir Gordon Slynn,RESP
61980CJ0256(01),Judgment of the Court (Fifth Chamber) of 13 November 1984,Fifth Chamber,  Birra Wührer SpA and others v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 256; 257; 265; 267/80; 5 and 51/81 and 282/82,ECLI identifier: ECLI:EU:C:1984:341,24/11/1980,13/11/1984,Italy,Kakouris,VerLoren van Themaat,RESP
61983CJ0109,Judgment of the Court (Fifth Chamber) of 18 October 1984,Fifth Chamber,  Eurico Srl v Commission of the European Communities,  Reference for a preliminary ruling: Tribunale civile e penale di Milano - Italy,  Community food-aid policy - Implementation - nature of legal relationship between the Community and national intervention agencies,  Case 109/83,ECLI identifier: ECLI:EU:C:1984:321,14/06/1983,18/10/1984,Italy,Galmot,Lenz,RESP
61981CJ0310,Judgment of the Court (First Chamber) of 15 March 1984,First Chamber,  Ente Italiano di Servizio Sociale (EISS) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 310/81,ECLI identifier: ECLI:EU:C:1984:105,08/12/1981,15/03/1984,Italy,O'Keeffe,Mancini,RESP
61981CJ0256,Judgment of the Court (Fifth Chamber) of 18 May 1983,Fifth Chamber,  Pauls Agriculture Limited v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 256/81,ECLI identifier: ECLI:EU:C:1983:138,21/09/1981,18/05/1983,United Kingdom,Everling,Mancini,RESP
61978CJ0250,Judgment of the Court of 1 March 1983,,  DEKA Getreideprodukte GmbH & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 250/78,ECLI identifier: ECLI:EU:C:1983:49,10/11/1978,01/03/1983,Germany,Due,Mancini,RESP
61978CJ0261(01),Judgment of the Court of 6 October 1982,,  Interquell Stärke-Chemie GmbH & Co, KG v European Economic Community,  Quellmehl - Action for damages,  Case 261/78,ECLI identifier: ECLI:EU:C:1982:329,15/12/1978,06/10/1982,Germany,Due,Capotorti,RESP
61978CJ0262(01),Judgment of the Court of 6 October 1982,,  Diamalt AG v European Economic Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 262/78,ECLI identifier: ECLI:EU:C:1982:330,15/12/1978,06/10/1982,Germany,Due,Capotorti,RESP
61981CJ0026,Judgment of the Court of 29 September 1982,,  SA Oleifici Mediterranei v European Economic Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 26/81,ECLI identifier: ECLI:EU:C:1982:318,13/02/1981,29/09/1982,Italy,Touffait,VerLoren van Themaat,RESP
61981CJ0106,Judgment of the Court of 15 September 1982,,  Julius Kind KG v European Economic Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 106/81,ECLI identifier: ECLI:EU:C:1982:291,04/05/1981,15/09/1982,Germany,Grévisse,Capotorti,RESP
61981CJ0217,Judgment of the Court (Third Chamber) of 10 June 1982,Third Chamber,  Compagnie Interagra SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 217/81,ECLI identifier: ECLI:EU:C:1982:222,20/07/1981,10/06/1982,France,Mackenzie Stuart,VerLoren van Themaat,RESP
61976CJ0064(01),Judgment of the Court of 19 May 1982,,  P, Dumortier Frères SA and others v Council of the European Communities,  Maize gritz - Exchange rate applicable to damages,  Joined cases 64 and 113/76; 167 and 239/78; 27; 28 and 45/79,ECLI identifier: ECLI:EU:C:1982:184,08/07/1976,19/05/1982,France,Due,Capotorti,RESP
61981CJ0051,Judgment of the Court of 27 January 1982,,  De Franceschi SpA Monfalcone v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 51/81,ECLI identifier: ECLI:EU:C:1982:20,09/03/1981,27/01/1982,Italy,Chloros,Capotorti,RESP
61980CJ0256,Judgment of the Court of 27 January 1982,,  Birra Wührer SpA and others v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 256/80; 257/80; 265/80; 267/80 and 5/81,ECLI identifier: ECLI:EU:C:1982:18,24/11/1980,27/01/1982,Italy,Chloros,Capotorti,RESP
61980CJ0197,Judgment of the Court (Second Chamber) of 17 December 1981,Second Chamber,  Ludwigshafener Walzmühle Erling KG and others v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 197 to 200; 243; 245 and 247/80,ECLI identifier: ECLI:EU:C:1981:311,07/10/1980,17/12/1981,Germany,Pescatore,VerLoren van Themaat,RESP
61979CJ0012,Judgment of the Court of 12 December 1979,,  Hans-Otto Wagner GmbH Agrarhandel KG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 12/79,ECLI identifier: ECLI:EU:C:1979:286,24/01/1979,12/12/1979,Germany,Koopmans,Warner,RESP
61977CJ0116,Judgment of the Court of 5 December 1979,,  G,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 116 and 124/77,ECLI identifier: ECLI:EU:C:1979:273,29/09/1977,05/12/1979,United Kingdom; Belgium,Mackenzie Stuart,Reischl,RESP
61977CJ0143,Judgment of the Court of 5 December 1979,,  Koninklijke Scholten-Honig NV v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 143/77,ECLI identifier: ECLI:EU:C:1979:274,21/11/1977,05/12/1979,Netherlands,Mackenzie Stuart,Reischl,RESP
61976CJ0064,Judgment of the Court of 4 October 1979,,  P, Dumortier frères SA and others v Council of the European Communities,  Maize gritz - Liability,  Joined cases 64 and 113/76; 167 and 239/78; 27; 28 and 45/79,ECLI identifier: ECLI:EU:C:1979:223,08/07/1976,04/10/1979,France,Sørensen,Capotorti,RESP
61978CJ0238,Judgment of the Court of 4 October 1979,,  Ireks-Arkady GmbH v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 238/78,ECLI identifier: ECLI:EU:C:1979:226,30/10/1978,04/10/1979,Germany,Sørensen,Capotorti,RESP
61978CJ0261,Judgment of the Court of 4 October 1979,,  Interquell Stärke-Chemie GmbH & Co, KG and Diamalt AG v Council and Commission of the European Communities,  Quellmehl - Liability,  Joined cases 261 and 262/78,ECLI identifier: ECLI:EU:C:1979:228,15/12/1978,04/10/1979,Germany,Sørensen,Capotorti,RESP
61978CJ0241,Judgment of the Court of 4 October 1979,,  DGV; Deutsche Getreideverwertung und Rheinische Kraftfutterwerke GmbH and others v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 241; 242; 245 to 250/78,ECLI identifier: ECLI:EU:C:1979:227,03/11/1978,04/10/1979,Belgium; Netherlands; Germany,Sørensen,Capotorti,RESP
61978CJ0090,Judgment of the Court of 28 March 1979,,  Granaria BV v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 90/78,ECLI identifier: ECLI:EU:C:1979:85,03/04/1978,28/03/1979,Netherlands,Sørensen,Capotorti,RESP
61978CJ0101,Judgment of the Court of 13 February 1979,,  Granaria BV v Hoofdproduktschap voor Akkerbouwprodukten,  Reference for a preliminary ruling: College van Beroep voor het Bedrijfsleven - Netherlands,  Milk powder; liability of Member State or national authority,  Case 101/78,ECLI identifier: ECLI:EU:C:1979:38,27/04/1978,13/02/1979,Netherlands,Sørensen,Capotorti,RESP
61978CJ0014,Judgment of the Court of 5 December 1978,,  Denkavit Commerciale Srl and Denkavit Nederland BV v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 14/78,ECLI identifier: ECLI:EU:C:1978:221,13/02/1978,05/12/1978,Italy; Netherlands,Mertens de Wilmars,Mayras,RESP
61977CJ0056,Judgment of the Court of 23 November 1978,,  Agence européenne d'interims SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 56/77,ECLI identifier: ECLI:EU:C:1978:208,03/05/1977,23/11/1978,Belgium,Mackenzie Stuart,Reischl,RESP
61977CJ0012,Judgment of the Court of 2 March 1978,,  Debayser SA and others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 12; 18 and 21/77,ECLI identifier: ECLI:EU:C:1978:42,25/01/1977,02/03/1978,France,Bosco,Mayras,RESP
61976CJ0097,Judgment of the Court of 8 June 1977,,  Merkur Außenhandel GmbH & Co, KG v Commission of the European Communities,  Compensatory amounts,  Case 97-76,ECLI identifier: ECLI:EU:C:1977:98,08/10/1976,08/06/1977,Germany,Bosco,Mayras,RESP
61976CJ0054,Judgment of the Court of 31 March 1977,,  Compagnie industrielle et agricole du comté de Loheac and others v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 54 to 60-76,ECLI identifier: ECLI:EU:C:1977:58,29/06/1976,31/03/1977,France,Touffait,Reischl,RESP
61976CJ0044,Judgment of the Court of 2 March 1977,,  Milch-; Fett- und Eier-Kontor GmbH v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 44-76,ECLI identifier: ECLI:EU:C:1977:37,12/05/1976,02/03/1977,Germany,O'Keeffe,Reischl,RESP
61974CJ0074(01),Judgment of the Court of 15 June 1976,,  Comptoir national technique agricole (CNTA) SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 74-74,ECLI identifier: ECLI:EU:C:1976:84,01/10/1974,15/06/1976,France,Sørensen,Trabucchi,RESP
61974CJ0026,Judgment of the Court of 21 May 1976,,  Société Roquette frères v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 26-74,ECLI identifier: ECLI:EU:C:1976:69,26/03/1974,21/05/1976,France,Pescatore,Trabucchi,RESP
