61986CJ0100,Judgment of the Court (Third Chamber) of 9 July 1987,Third Chamber,  Jacques Cauët and Bertrand Joliot v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 100/86,ECLI identifier: ECLI:EU:C:1987:357,21/04/1986,09/07/1987,France,Everling,Mischo,CECA
61985CJ0167,Judgment of the Court of 9 April 1987,,  Associazione industrie siderurgiche italiane (Assider) and Italian Republic v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 167 and 212/85,ECLI identifier: ECLI:EU:C:1987:195,31/05/1985,09/04/1987,Italy,Galmot,Mischo,CECA
61986CJ0032,Judgment of the Court (Second Chamber) of 7 April 1987,Second Chamber,  Società industrie siderurgiche meccaniche e affini (Sisma) SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 32/86,ECLI identifier: ECLI:EU:C:1987:187,07/02/1986,07/04/1987,Italy,Due,Mischo,CECA
61985CJ0226,Judgment of the Court (Second Chamber) of 7 April 1987,Second Chamber,  Dillinger Hüttenwerke AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 226/85,ECLI identifier: ECLI:EU:C:1987:184,23/07/1985,07/04/1987,Germany,Due,Cruz Vilaça,CECA
61985CJ0304,Judgment of the Court (Sixth Chamber) of 24 February 1987,Sixth Chamber,  Acciaierie e Ferriere Lombarde Falck v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 304/85,ECLI identifier: ECLI:EU:C:1987:95,11/10/1985,24/02/1987,Italy,Koopmans,Sir Gordon Slynn,CECA
61985CJ0350,Judgment of the Court (Sixth Chamber) of 24 February 1987,Sixth Chamber,  Cockerill-Sambre SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 350/85,ECLI identifier: ECLI:EU:C:1987:97,18/11/1985,24/02/1987,Belgium,Due,Darmon,CECA
61984CJ0268,Judgment of the Court (Second Chamber) of 21 January 1987,Second Chamber,  Ferriera Valsabbia SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 268/84,ECLI identifier: ECLI:EU:C:1987:19,12/11/1984,21/01/1987,Italy,Bahlmann,Darmon,CECA
61985CJ0041,Judgment of the Court (First Chamber) of 10 December 1986,First Chamber,  Sideradria SpA - Industria metallurgica v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 41/85,ECLI identifier: ECLI:EU:C:1986:473,12/02/1985,10/12/1986,Italy,Joliet,Mancini,CECA
61985CJ0046,Judgment of the Court (First Chamber) of 10 July 1986,First Chamber,  Manchester Steel Limited v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 46/85,ECLI identifier: ECLI:EU:C:1986:306,18/02/1985,10/07/1986,United Kingdom,Bosco,Mischo,CECA
61985CJ0185,Judgment of the Court (Fifth Chamber) of 1 July 1986,Fifth Chamber,  Union sidérurgique du Nord et de l'Est de la France (Usinor) SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 185/85,ECLI identifier: ECLI:EU:C:1986:276,14/06/1985,01/07/1986,France,Everling,Mischo,CECA
