62005CJ0417,Judgment of the Court (Second Chamber) of 14 September 2006,Second Chamber,  Commission of the European Communities v Maria Dolores Fernández Gómez,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-417/05 P,ECLI identifier: ECLI:EU:C:2006:582,24/11/2005,14/09/2006,,Arestis,Geelhoed,STAT
62004CJ0288,Judgment of the Court (First Chamber) of 8 September 2005,First Chamber,  AB v Finanzamt für den 6,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-288/04,ECLI identifier: ECLI:EU:C:2005:526,06/07/2004,08/09/2005,Austria,Juhász,Geelhoed,STAT
62002CJ0301,Judgment of the Court (First Chamber) of 26 May 2005,First Chamber,  Carmine Salvatore Tralli v European Central Bank,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-301/02 P,ECLI identifier: ECLI:EU:C:2005:306,26/08/2002,26/05/2005,,Silva de Lapuerta,Léger,STAT
62003CJ0181,Judgment of the Court (First Chamber) of 13 January 2005,First Chamber,  Albert Nardone v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-181/03 P,ECLI identifier: ECLI:EU:C:2005:18,25/04/2003,13/01/2005,,Silva de Lapuerta,Poiares Maduro,STAT
62003CJ0293,Judgment of the Court (Second Chamber) of 16 December 2004,Second Chamber,  Gregorio My v Office national des pensions (ONP),  Reference for a preliminary ruling: Tribunal du travail de Bruxelles - Belgium,  Community officials - Transfer of pension rights - Article 11 of Annex VIII to the Staff Regulations - Early retirement pension - Reckoning of periods of employment with the European Community - Article 10 EC,  Case C-293/03,ECLI identifier: ECLI:EU:C:2004:821,04/07/2003,16/12/2004,Belgium,Schintgen,Tizzano,STAT
62002CJ0409,Judgment of the Court (First Chamber) of 14  October  2004,First Chamber,  Jan Pflugradt v European Central Bank,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-409/02 P,ECLI identifier: ECLI:EU:C:2004:625,18/11/2002,14/10/2004,,Silva de Lapuerta,Léger,STAT
62003CJ0150,Judgment of the Court (Second Chamber) of 23  September  2004,Second Chamber,  Chantal Hectors v European Parliament,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-150/03 P,ECLI identifier: ECLI:EU:C:2004:555,31/03/2003,23/09/2004,,Puissochet,Ruiz-Jarabo Colomer,STAT
62002CJ0397,Judgment of the Court (First Chamber) of 9 September 2004,First Chamber,  Clinique La Ramée ASBL and Winterthur Europe Assurance SA v Jean-Pierre Riehl and Council of the European Union,  Reference for a preliminary ruling: Cour d'appel de Bruxelles - Belgium,  Officials - Social benefits - Communities' right of subrogation to an official's rights against the third party liable for an actionable event,  Case C-397/02,ECLI identifier: ECLI:EU:C:2004:502,11/11/2002,09/09/2004,Belgium,Jann,Léger,STAT
62002CJ0111,Judgment of the Court (Fifth Chamber) of 29 April 2004,Fifth Chamber,  European Parliament v Patrick Reynolds,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-111/02 P,ECLI identifier: ECLI:EU:C:2004:265,25/03/2002,29/04/2004,,von Bahr,Geelhoed,STAT
62002CJ0092,Judgment of the Court (Fifth Chamber) of 4 December 2003,Fifth Chamber,  Nina Kristiansen v Rijksdienst voor Arbeidsvoorziening,  Reference for a preliminary ruling: Arbeidsrechtbank Tongeren - Belgium,  Social security - National system of unemployment benefits laying down a rule against overlapping of benefits as regards certain income - Unemployment benefits for former members of the temporary staff of the European Communities - Freedom of movement for workers - National scheme of unemployment insurance - Classification of post-graduate occupation - Occupation of trainee fellowship student - Different classification in other Member States of the EEA - Discrimination,  Case C-92/02,ECLI identifier: ECLI:EU:C:2003:652,15/03/2002,04/12/2003,Belgium,La Pergola,Alber,STAT
